Time,From,To,Amount
09/06/2013 01:06:00 AM,1Ms5mLzJEWNHJz5Q7LyZeksvo3guoJAbjH,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,4.51921350
09/06/2013 07:53:00 AM,1BmGDLGNjTx3k3Ujg6dBC7dzHCD9KiNWwj,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,4.38608094
09/06/2013 08:00:00 PM,1Eh4L1U8ZhRUy9ppLqJCUqTgSNiRWbuF5j,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,6.37018490
09/07/2013 07:07:00 PM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc 1D6eiLfPwHjaFYzEqNvU8hB3XnUdY1oP59 1drZTu9zUEwDL8cAg4VuTffuPyQKUCDKj 12asdxbv8x7gLjpCBRUgDQWqMZHWHKYRd5,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,9.50748394
09/07/2013 09:04:00 PM,1EEJpGtPcjyYpHsZnLawxhwk7idr2DnbFb,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,4.44922271
09/07/2013 10:32:00 PM,16Kp1VmhVoLpvKwXbyDqrkEwJbqHmnu6sm,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.80321689
09/08/2013 06:48:00 AM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc 13ziBy8NymeBr8FxrcjgWFyKNbRVmo64ZH 1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc 1Hw6gDBRvQM7WhUhG7wxkLwHLSZRtELdzT 16eUTUqm8CDSL6wsAw14rynX6ysFhrwQRk,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.84409405
09/08/2013 08:02:00 AM,18ig81QTnyuV5R1pNMSeXSAT6HBSUmVngQ,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.24966330
09/08/2013 11:05:00 AM,15xb4xugAiPathS5hoWQ4r3oQYk9vQFv7h,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.19891432
09/08/2013 12:47:00 PM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,2.96387368
09/08/2013 02:36:00 PM,12bAx9kf7u3zm6p5EsYPkL5XoXsGphaYDj 1GNTMXZCR7AdAwTwtvFeeRBs77rkYeXJP4,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,2.97101193
09/08/2013 09:30:00 PM,1NrzFXDCDHaMtnhpckzkLCQzmAwFDTEsm2,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.64128632
09/09/2013 04:01:00 AM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,4.17026689
09/09/2013 08:02:00 AM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,4.04007327
09/09/2013 02:06:00 PM,1AHDgwLwQQcVotztfu9XfT1tVEkMQTv6xg,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.74693481
09/09/2013 05:21:00 PM,15GSi3kcQGVz9yJKya7xWHYUroXGxYGgSa,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,2.98131248
09/09/2013 07:35:00 PM,1MHnYHMic47Gcoo4Hiewgsvjs2BUfLQEVw,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.33631865
09/09/2013 10:39:00 PM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.51356573
09/10/2013 01:27:00 AM,1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc 1GMD4Ms9rsovHCaoHgXDajSRDeVQgPTrTc 1PMiczUwxu7bY6rEAx5xFVQxCGWWGJPEKV,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,3.53733163
09/10/2013 10:38:00 PM,1ML6jAZMvUL5EniqKARqfPnuKAZK32hZND,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.82599612
09/11/2013 03:20:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/11/2013 08:13:00 AM,1DruY46WjXE3fzaU8FkUzmw6XkpziLwNv8 1G1QpKMTb8VpScMwUbFMRfL2yaU8EHEerP 1K9cdAdn2LpTcqCsxW3p9wMy6KhsWFRZxz 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/11/2013 12:11:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1EHeSZyfNKJ29erDS4poiphCBRdYA3EAJ1,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/11/2013 06:10:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1GMPALBfnkqTQPH4AziPEhx5QetDg4DBzY,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/11/2013 10:08:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/12/2013 01:19:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/12/2013 05:21:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/12/2013 09:55:00 AM,13xc69FaBzNmAioR2Uvjph63PDJPwmivEY,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,0.29617911
09/12/2013 10:08:00 AM,1CreS8LFuCrWiPY8SyeifAUfRxJpk3iQA9 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/12/2013 04:07:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 149MFU1MwRgGL7UVYQoVrsnoU5xBbYUvCk 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/12/2013 07:09:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/13/2013 01:07:00 AM,16zyMu7dXhskk7ZCKnDQJ7CycbFX22EuhC 129Rg46e4mKjjvW7E1gKjiKToQCQ8zC51k 1Go81VCCm3mrazmZ4tS9j9ibY6GxyUWLA6 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
