Time,From,To,Amount
05/10/2012 01:55:03 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.20000000
05/10/2012 01:55:03 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.20000000
05/10/2012 02:58:16 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 1Ma6BJ5r6RnVN9TQFbHkoWrmsBGu8ZXZUN 1PFbC2mZTRfeqRFkLRVeWjjHiugmte5Qhi 19ibbgh5RzfWgeeaTkrH2w5hoqqvUREREE 1GkaGaQSYYSSyLzseQuXXMn3TNXpe82ruH,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00081787
05/10/2012 02:58:16 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 17RGrsgiiXVY1A2occzBmHCfwSVJLZy2Pv 1FbFTXBzQCjtq3To4mWEoSUjM5eZb2HpBg 1CHd761fRRH69tMKG4xiamBABEDUYyRCz7 19A5xjLbPoPeaLwoEvN1FKVCWb5SiVyhXQ,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00081787
05/10/2012 08:02:15 PM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.32000000
05/14/2012 03:39:10 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.50000000
05/14/2012 03:39:10 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.50000000
05/14/2012 03:48:20 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 1B4akDwYNbkMYknC8DpQ1dnJiHznmugqhc 1PBh4ZWfdWix1EDrN8Dvt2M2QrN2TuJRwS 1FdDWKUWHkJ2TpGFTBNUftUUHREQEkg9eX 16q6uzDWAfge3iQPJKtkPdTLFq43GW2rda,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00250000
05/14/2012 03:48:20 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 1B7M8WbMC4rks7XpYDvcnuZeHDESNyizz2 1147VjB5qx1pHdz5kJRVjLExtMXZLrj6kh 18tWHfZTZQuV8k1UAMWD85rEKJtBLvrbsn 1mBgZN5ArVRmW1NPjxxEUDsgeR7dbhJLT,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00250000
05/20/2012 01:04:36 PM,Block Reward,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,50.15850000
06/04/2012 12:11:00 PM,Coinlab,Miner Fee,-0.00050000
06/12/2012 11:14:37 AM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1A7ujDn3pawcNUuEU6NBzGKW1QCuaKoby9,-0.10000000
08/13/2012 05:13:55 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-1.90000000
08/13/2012 05:15:13 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,16AASBVvTTQYgGZuR81mA43tdKXEixcqs3,-1.59000000
08/17/2012 11:44:18 AM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-4.11000000
08/20/2012 12:40:30 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-5.13000000
08/20/2012 12:40:30 PM,Coinlab,Miner Fee,-0.00500000
08/20/2012 12:55:35 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,182XGi7MYm3EvnPojGLKHh3WLJkJznJkqL,-2.98000000
08/20/2012 12:55:35 PM,Coinlab,Miner Fee,-0.00500000
08/20/2012 12:55:35 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-9.42000000
08/20/2012 12:55:35 PM,Coinlab,Miner Fee,-0.00500000
08/20/2012 01:04:29 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,14TqzvdVEei96Xh7GSj59yhSi28nghw9H6,-2.11000000
08/20/2012 01:04:29 PM,Coinlab,Miner Fee,-0.00050000
08/20/2012 01:05:20 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Bdy9P2oT2z9eaLv3CVcDkgrQqrDpazkhT,-1.66000000
08/20/2012 01:05:20 PM,Coinlab,Miner Fee,-0.00500000
08/20/2012 01:43:58 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1EuPurNeMJ3RsF4upvtLZcHgFAa7qN2y45,-6.62000000
08/20/2012 01:43:58 PM,Coinlab,Miner Fee,-0.00050000
08/20/2012 04:38:44 PM,Block Reward,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,50.00350000
08/26/2012 03:38:52 AM,Block Reward,Coinlab: 14pQFphxFkpQowVeVAv8yMBnY61E5J4xa2,50.35265000
08/27/2012 02:36:47 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-5.14000000
08/27/2012 03:05:19 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-32.76000000
08/27/2012 03:05:19 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,14TqzvdVEei96Xh7GSj59yhSi28nghw9H6,-2.65000000
08/27/2012 03:05:19 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:05:19 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,16AASBVvTTQYgGZuR81mA43tdKXEixcqs3,-0.26000000
08/27/2012 03:05:19 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,182XGi7MYm3EvnPojGLKHh3WLJkJznJkqL,-3.29000000
08/27/2012 03:05:19 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:05:19 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1HP11jAyGCpX2KFymwmbYYiYzpMQvq1Xas,-0.78000000
08/27/2012 03:05:19 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Bdy9P2oT2z9eaLv3CVcDkgrQqrDpazkhT,-1.93000000
08/27/2012 03:05:19 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:06:08 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1AqJBadKLWoxGjhYwZ35CWqgkMMfWfeNVt,-4.52000000
08/27/2012 03:06:08 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:06:08 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-0.66000000
08/27/2012 03:29:46 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Pzp5wzGjCc3AqSKPrRThfXbRM9kUygP8m,-0.28000000
08/27/2012 03:29:46 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:29:46 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,12u5kod7EbPESsfeje8w5agCZqePHTi5gV,-1.03000000
08/27/2012 03:29:46 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:29:46 PM,Coinlab: 14pQFphxFkpQowVeVAv8yMBnY61E5J4xa2,1yNZnc1BHLPyZ4hgR2CaB1fBP3nLrGmvJ,-45.18000000
08/27/2012 03:43:04 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,17gHPconrhA484rMj3VwVu7GvsEPdkBZpU,-10.88000000
08/27/2012 03:43:04 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:43:04 PM,Coinlab: 14pQFphxFkpQowVeVAv8yMBnY61E5J4xa2,1PdzHZSLC5vDhhmqkEydMFQX4zMkCi5Jif,-3.92000000
08/27/2012 03:43:04 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:43:04 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 14pQFphxFkpQowVeVAv8yMBnY61E5J4xa2,17PLpgPrncY4fd5AzgNPCtBwWswTCjnyHk,-3.75000000
08/27/2012 03:43:04 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 03:45:33 PM,13HxZMsHEtfCdFuiLyvmhcCMfMeUTEFFzR,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1.00000000
08/27/2012 03:45:33 PM,Block Reward,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,50.02950000
08/27/2012 04:13:32 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1PdzHZSLC5vDhhmqkEydMFQX4zMkCi5Jif,-0.07840000
08/27/2012 04:13:32 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,17PLpgPrncY4fd5AzgNPCtBwWswTCjnyHk,-0.07120000
08/27/2012 04:13:32 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,17gHPconrhA484rMj3VwVu7GvsEPdkBZpU,-0.20740000
08/27/2012 04:13:32 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,182XGi7MYm3EvnPojGLKHh3WLJkJznJkqL,-0.06260000
08/27/2012 04:13:32 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-0.09760000
08/27/2012 04:13:32 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 04:13:32 PM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1N1U4nFNDpVEqZYthcbXNbL1Qq2KjQ1qB6,-0.68000000
08/27/2012 04:13:32 PM,Coinlab,Miner Fee,-0.00050000
08/27/2012 10:32:48 PM,Block Reward,Coinlab: 1EgU49DqGAFpTtS6uDbfbZDkWPdGEBZvNN,50.20200000
08/28/2012 03:35:24 PM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1LriuGXxpaTqucDgXJysDUwCJmTCeyJ4Zg,-1.00000000
08/28/2012 05:16:10 PM,Coinlab: 1EgU49DqGAFpTtS6uDbfbZDkWPdGEBZvNN,13HxZMsHEtfCdFuiLyvmhcCMfMeUTEFFzR,-1.00000000
08/28/2012 06:19:12 PM,Block Reward,Coinlab: 1CqijVGciZ32XY4qRHhLSoj6raHsKK75wL,50.18855002
08/30/2012 03:28:37 PM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,17gHPconrhA484rMj3VwVu7GvsEPdkBZpU,-4.16000000
09/02/2012 06:09:11 PM,Block Reward,Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX,50.07452500
09/04/2012 11:19:30 AM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas Coinlab: 1EgU49DqGAFpTtS6uDbfbZDkWPdGEBZvNN Coinlab: 1CqijVGciZ32XY4qRHhLSoj6raHsKK75wL,1yNZnc1BHLPyZ4hgR2CaB1fBP3nLrGmvJ,-58.97000000
09/04/2012 11:24:30 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1yNZnc1BHLPyZ4hgR2CaB1fBP3nLrGmvJ,-1.24000000
09/04/2012 11:35:06 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1Pzp5wzGjCc3AqSKPrRThfXbRM9kUygP8m,-0.18000000
09/04/2012 11:35:06 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:35:06 AM,Coinlab: 1CzpgJQqGgYHuRvHLHX3tV2katCBtVryWX,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-7.84000000
09/04/2012 11:35:06 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1Bdy9P2oT2z9eaLv3CVcDkgrQqrDpazkhT,-4.03000000
09/04/2012 11:35:06 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:35:06 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1AqJBadKLWoxGjhYwZ35CWqgkMMfWfeNVt,-4.51000000
09/04/2012 11:35:06 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:35:41 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,14TqzvdVEei96Xh7GSj59yhSi28nghw9H6,-1.80000000
09/04/2012 11:35:41 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:35:41 AM,Coinlab: 14XtwQEi4rYHEEsbk2TQpgs5kVpcfUkvas,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-35.79000000
09/04/2012 11:35:41 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:35:41 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,182XGi7MYm3EvnPojGLKHh3WLJkJznJkqL,-3.56000000
09/04/2012 11:35:41 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:54:36 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1Ea3HazpeZwsgzGK8hvNChgSNavPZEqbk,-9.35000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:54:36 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,1PdzHZSLC5vDhhmqkEydMFQX4zMkCi5Jif,-5.15000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
09/04/2012 11:54:36 AM,Coinlab: 1EF4wLvxU2arH9oWndX8xG7qAmngrX5the,193zbv2syCTQw3KWYqDMGYd9vMJx98J94E,-7.27000000
09/04/2012 11:54:36 AM,Coinlab,Miner Fee,-0.00050000
